id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;hub_id;country;time_zone
387;Neuvy-Sautour RN;neuvy-sautour-rn;8711798;87117986;48.033333;3.800000;4529;;FR;Europe/Paris
388;Brienon Mairie;brienon-mairie;8711799;87117994;48.000000;3.616667;9151;;FR;Europe/Paris
389;St-Lyé;st-lye;8711806;87118067;48.366667;4.000000;;;FR;Europe/Paris
390;Payns;payns;8711807;87118075;48.383333;3.966667;;;FR;Europe/Paris
391;Savières;savieres;8711808;87118083;48.416667;3.950000;;;FR;Europe/Paris
392;St-Mesmin;st-mesmin;8711809;87118091;48.450000;3.933333;;;FR;Europe/Paris
393;Vallant-St-Georges;vallant-st-georges;8711811;87118117;48.466168;3.899331;;;FR;Europe/Paris
394;Châtres;chatres;8711813;87118133;48.500000;3.850000;;;FR;Europe/Paris
395;Maizières-La Grande-Paroisse;maizieres-la-grande-paroisse;8711814;87118141;48.516667;3.783333;;;FR;Europe/Paris
396;Romilly-sur-Seine;romilly-sur-seine;8711815;87118158;48.514433;3.728887;5092;;FR;Europe/Paris
399;Marnay-sur-Seine;marnay-sur-seine;8711818;87118182;48.516667;3.550000;;;FR;Europe/Paris
400;Nogent-sur-Seine;nogent-sur-seine;8711819;87118190;48.497839;3.493729;4864;;FR;Europe/Paris
401;Aigueperse;aigueperse;8773412;87734129;46.014788;3.198262;;;FR;Europe/Paris
402;Vendeuvre;vendeuvre;8711825;87118257;48.240069;4.467214;5625;;FR;Europe/Paris
403;Bar-sur-Aube;bar-sur-aube;8711829;87118299;48.238540;4.706671;5132;;FR;Europe/Paris
404;St-Florentin Hôtel de Ville;st-florentin-hotel-de-ville;8711861;87118612;48.000000;3.733333;5193;;FR;Europe/Paris
405;Laroche-Migennes Hôtel Terminus;laroche-migennes-hotel-terminus;8711862;87118620;;;9150;;FR;Europe/Paris
406;Foug;foug;8714103;87141036;48.679256;5.791276;;;FR;Europe/Paris
407;Fontenoy-sur-Moselle;fontenoy-sur-moselle;8714105;87141051;48.711721;5.980365;;;FR;Europe/Paris
408;Liverdun;liverdun;8714106;87141069;48.749316;6.061737;;;FR;Europe/Paris
409;Champigneulles;champigneulles;8714108;87141085;48.73499;6.16913;;;FR;Europe/Paris
410;Laneuveville-devant-Nancy;laneuveville-devant-nancy;8714109;87141093;48.65564;6.22792;;;FR;Europe/Paris
411;Argèles-Gazost;argeles-gazost;8767174;87671743;43.100000;-0.050000;;;FR;Europe/Paris
412;Arches;arches;8714441;87144410;48.119813;6.528309;;;FR;Europe/Paris
413;Varangéville – St-Nicolas;varangeville-st-nicolas;8714110;87141101;48.635339;6.312860;;;FR;Europe/Paris
414;Dombasle-sur-Meurthe;dombasle-sur-meurthe;8714111;87141119;48.623275;6.343478;;;FR;Europe/Paris
415;Rosières-aux-Salines;rosieres-aux-salines;8714112;87141127;48.605630;6.350457;;;FR;Europe/Paris
416;Argelès-sur-Mer;argeles-sur-mer;8778423;87784231;42.543970;3.022349;;;FR;Europe/Paris
417;Marainviller;marainviller;8714116;87141168;48.583333;6.600000;;;FR;Europe/Paris
